# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
23.757812	3.3182003e-44	1.8517147e-45	1.2292631e-43
23.765625	3.3096161e-44	1.8475222e-45	1.2256048e-43
23.773438	3.3010587e-44	1.8433414e-45	1.2219659e-43
23.781250	3.2925282e-44	1.8391723e-45	1.2182312e-43
23.789062	3.2840245e-44	1.8350150e-45	1.2144418e-43
23.796875	3.2755474e-44	1.8308694e-45	1.2106697e-43
23.804688	3.2670969e-44	1.8267354e-45	1.2069150e-43
23.812500	3.2587917e-44	1.8226131e-45	1.2031775e-43
23.820312	3.2505926e-44	1.8185239e-45	1.1994859e-43
23.828125	3.2424185e-44	1.8144539e-45	1.1958422e-43
23.835938	3.2342694e-44	1.8103953e-45	1.1922145e-43
23.843750	3.2261452e-44	1.8063480e-45	1.1886027e-43
23.851562	3.2180457e-44	1.8023121e-45	1.1850068e-43
23.859375	3.2099709e-44	1.7982874e-45	1.1814267e-43
23.867188	3.2019208e-44	1.7942740e-45	1.1778622e-43
23.875000	3.1938951e-44	1.7902717e-45	1.1743133e-43
23.882812	3.1858940e-44	1.7862807e-45	1.1707799e-43
23.890625	3.1779172e-44	1.7823007e-45	1.1672619e-43
23.898438	3.1699647e-44	1.7783319e-45	1.1637592e-43
23.906250	3.1620365e-44	1.7743742e-45	1.1602717e-43
23.914062	3.1541324e-44	1.7704275e-45	1.1567842e-43
23.921875	3.1462524e-44	1.7664918e-45	1.1533089e-43
23.929688	3.1383963e-44	1.7625671e-45	1.1498486e-43
23.937500	3.1305642e-44	1.7586534e-45	1.1464030e-43
23.945312	3.1227559e-44	1.7547505e-45	1.1429683e-43
23.953125	3.1149714e-44	1.7508586e-45	1.1395176e-43
23.960938	3.1072106e-44	1.7469775e-45	1.1360818e-43
23.968750	3.0994734e-44	1.7431072e-45	1.1326608e-43
23.976562	3.0917597e-44	1.7392477e-45	1.1292546e-43
23.984375	3.0840694e-44	1.7353989e-45	1.1258630e-43
